,id,season,week,startDate,homeTeam,homeConference,homeScore,awayTeam,awayConference,awayScore,provider,spread,formattedSpread,spreadOpen,overUnder,overUnderOpen,homeMoneyline,awayMoneyline
0,401655657,2024,1,2024-08-31T17:00:00.000Z,Butler,Pioneer,40.0,Upper Iowa,Great Lakes,7.0,,,,,,,,
1,401655628,2024,1,2024-08-31T20:00:00.000Z,Northern Arizona,Big Sky,66.0,Lincoln University (CA),Independent DII,6.0,,,,,,,,
2,401674318,2024,1,2024-08-29T22:00:00.000Z,Northern Michigan,GLIAC,7.0,Minnesota-Duluth,Northern Sun,35.0,,,,,,,,
3,401628456,2024,1,2024-08-31T23:30:00.000Z,Oregon,Big Ten,24.0,Idaho,Big Sky,14.0,,,,,,,,
4,401628332,2024,1,2024-08-31T23:30:00.000Z,Texas A&M,SEC,13.0,Notre Dame,FBS Independents,23.0,DraftKings,-2.5,Texas A&M -2.5,-1,46.5,47,-148.0,124.0
5,401654562,2024,1,2024-08-30T00:00:00.000Z,South Dakota,MVFC,45.0,Northern State,Northern Sun,3.0,,,,,,,,
6,401674184,2024,1,2024-08-29T23:00:00.000Z,Northwest Missouri State,Mid America,22.0,Minnesota State,Northern Sun,36.0,,,,,,,,
7,401655860,2024,1,2024-08-30T00:00:00.000Z,St. Thomas (MN),Pioneer,13.0,Sioux Falls,Northern Sun,34.0,,,,,,,,
8,401675386,2024,1,2024-09-01T20:00:00.000Z,Virginia State,CIAA,23.0,Benedict College,SIAC,7.0,,,,,,,,
9,401675504,2024,1,2024-08-31T23:00:00.000Z,Valdosta State,Gulf South,42.0,Albany State (GA),SIAC,10.0,,,,,,,,
10,401673041,2024,1,2024-08-29T22:00:00.000Z,Morehead State,Pioneer,17.0,Central State,SIAC,10.0,,,,,,,,
11,401675597,2024,1,2024-08-31T19:00:00.000Z,Morehouse,SIAC,11.0,Edward Waters,SIAC,28.0,,,,,,,,
12,401675508,2024,1,2024-08-31T23:00:00.000Z,West Alabama,Gulf South,16.0,Miles,SIAC,15.0,,,,,,,,
13,401675113,2024,1,2024-09-01T23:00:00.000Z,Johnson C Smith,CIAA,21.0,Tuskegee,SIAC,13.0,,,,,,,,
14,401675586,2024,1,2024-08-31T17:00:00.000Z,Fort Valley State,SIAC,42.0,Clark Atlanta,SIAC,45.0,,,,,,,,
15,401634300,2024,1,2024-08-31T02:30:00.000Z,Stanford,ACC,27.0,TCU,Big 12,34.0,DraftKings,8.5,TCU -8.5,8.5,61,61,250.0,-310.0
16,401628583,2024,1,2024-08-30T01:00:00.000Z,Eastern Washington,Big Sky,42.0,Monmouth,CAA,27.0,,,,,,,,
17,401654845,2024,1,2024-08-30T01:00:00.000Z,Illinois,Big Ten,45.0,Eastern Illinois,Big South-OVC,0.0,,,,,,,,
